user_id,device,date,converted
381,Mobile,2025-03-07,0
382,Mobile,2025-04-14,0
383,Mobile,2025-05-17,0
384,Desktop,2025-03-07,0
385,Mobile,2025-04-17,0
386,Desktop,2025-03-31,1
387,,,0
388,Mobile,2025-05-19,0
389,Tablet,2025-04-10,0
390,Mobile,2025-05-16,0
391,Mobile,2025-04-01,1
392,Mobile,2025-04-12,0
393,Tablet,2025-05-06,0
394,Tablet,2025-04-16,0
395,Desktop,2025-05-12,0
396,Tablet,2025-05-19,0
397,Desktop,2025-05-07,0
398,Desktop,2025-05-27,0
399,Mobile,2025-04-13,0
400,Mobile,2025-03-06,1
401,Desktop,2025-04-13,1
402,Mobile,2025-04-03,0
403,Desktop,2025-03-07,0
404,Desktop,2025-06-01,0
405,Desktop,2025-04-27,0
406,,,0
407,Mobile,2025-04-04,0
408,Desktop,2025-03-21,0
409,Mobile,2025-04-19,0
410,Tablet,2025-05-30,0
411,Mobile,2025-05-26,1
412,Mobile,2025-05-03,0
413,mobile,2025-03-22,0
414,Desktop,2025-05-02,0
415,Tablet,2025-03-21,0
416,,,0
417,Mobile,2025-03-30,0
418,DESKTOP,2025-04-02,0
419,Mobile,2025-04-11,0
420,Mobile,2025-03-22,0
421,Mobile,2025-05-08,0
422,Mobile,2025-03-17,0
423,Desktop,2025-03-08,0
424,Mobile,2025-05-23,1
425,Mobile,2025-03-30,0
426,Mobile,2025-04-18,0
427,Tablet,2025-05-15,0
428,Mobile,2025-04-20,0
429,Tablet,2025-05-20,0
430,Tablet,2025-05-05,0
431,Tablet,2025-04-19,0
432,Mobile,2025-04-14,0
433,Desktop,2025-03-08,0
434,,,0
435,Mobile,2025-05-10,0
436,Desktop,2025-04-17,0
437,,,0
438,Mobile,2025-05-31,0
439,Mobile,2025-03-19,1
440,Mobile,2025-03-27,0
441,Desktop,2025-05-02,0
442,Mobile,2025-05-29,0
443,Mobile,2025-05-12,0
444,Mobile,2025-03-23,0
445,Tablet,2025-04-08,0
446,Mobile,2025-04-11,0
447,mobile,2025-03-30,0
448,Tablet,2025-04-19,0
449,Mobile,2025-03-07,0
450,Mobile,2025-03-27,0
451,,,0
452,Tablet,2025-05-10,0
453,mobile,2025-05-14,0
454,Tablet,2025-05-27,0
455,Tablet,2025-05-08,1
456,DESKTOP,2025-03-11,0
457,Mobile,2025-03-07,0
458,Mobile,2025-03-12,0
459,Desktop,2025-04-27,0
460,Tablet,2025-04-11,0
461,Mobile,2025-04-18,0
462,Mobile,2025-05-28,1
463,Desktop,2025-05-06,0
464,Desktop,2025-03-20,0
465,Tablet,2025-05-22,0
466,Mobile,2025-03-21,0
467,Mobile,2025-03-24,0
468,Mobile,2025-05-22,0
469,Mobile,2025-04-12,0
470,Mobile,2025-04-22,0
471,Mobile,2025-04-15,0
472,Desktop,2025-04-27,0
473,Tablet,2025-04-17,1
474,Mobile,2025-05-20,0
475,Mobile,2025-05-24,0
476,mobile,2025-05-17,0
477,mobile,2025-05-22,0
478,Mobile,2025-04-07,0
479,mobile,2025-03-22,0
480,,,0
481,Mobile,2025-03-07,0
482,Tablet,2025-03-19,0
483,Mobile,2025-04-09,0
484,Mobile,2025-05-07,0
485,Mobile,2025-04-12,0
486,Desktop,2025-04-18,0
487,Mobile,2025-03-12,0
488,Desktop,2025-05-27,0
489,Tablet,2025-04-16,0
490,Mobile,2025-04-25,0
491,Mobile,2025-03-27,0
492,Mobile,2025-03-15,0
493,Tablet,2025-04-11,0
494,Mobile,2025-03-05,0
495,Desktop,2025-05-19,0
496,,,0
497,Mobile,2025-04-07,0
498,Desktop,2025-05-07,0
499,Desktop,2025-04-12,0
500,Mobile,2025-03-28,1
501,Desktop,2025-03-09,0
502,Tablet,2025-04-25,0
503,Mobile,2025-05-13,1
504,Tablet,2025-05-03,0
505,Mobile,2025-04-05,0
506,mobile,2025-04-21,0
507,mobile,2025-03-16,0
508,Desktop,2025-05-05,0
509,Tablet,2025-03-20,0
510,Desktop,2025-03-02,0
511,Tablet,2025-04-03,0
512,Mobile,2025-05-06,0
513,Mobile,2025-03-22,0
514,Desktop,2025-03-17,1
515,Mobile,2025-03-13,0
516,mobile,2025-04-11,0
517,mobile,2025-04-24,0
518,Desktop,2025-04-17,1
519,Mobile,2025-04-23,0
520,Tablet,2025-05-29,0
521,Tablet,2025-05-04,0
522,Mobile,2025-04-25,0
523,Tablet,2025-04-12,0
524,Mobile,2025-04-14,1
525,Desktop,2025-05-19,1
526,Desktop,2025-04-17,0
527,Tablet,2025-05-02,0
528,Mobile,2025-03-15,1
529,Mobile,2025-05-23,0
530,Desktop,2025-05-09,1
531,Mobile,2025-04-10,0
532,Mobile,2025-04-19,1
533,Desktop,2025-05-03,0
534,Mobile,2025-03-10,1
535,Mobile,2025-04-02,0
536,DESKTOP,2025-04-06,0
537,Mobile,2025-03-11,0
538,Tablet,2025-05-15,0
539,Desktop,2025-05-20,1
540,Mobile,2025-04-20,0
541,Mobile,2025-04-23,0
542,Desktop,2025-04-05,0
543,Mobile,2025-03-06,0
544,Mobile,2025-05-23,1
545,Tablet,2025-04-04,0
546,Mobile,2025-03-31,0
547,Mobile,2025-03-04,0
548,mobile,2025-04-13,0
549,Desktop,2025-05-14,1
550,Desktop,2025-04-25,0
434,,,0
305,,,1
362,,,0
437,,,0
276,,,1
406,,,0
416,,,0
254,,,0
360,,,0
496,,,0
